
==== Start experiment: replay capacity (max_mem_size)=1000, batch_size=128 ====
[buffer 1000] >>> SUCCESS #1 | ep 0 | score 9401.53 | last_reward 3000.0 | loss 0.000 | eps 0.900 | steps 99 | mem 99/1000 | tries_since_last=0 | 31 ms
[buffer 100000] >>> SUCCESS #37 | ep 59 | score 9492.08 | last_reward 3000.0 | loss 26.824 | eps 0.050 | steps 89 | mem 4474/100000 | tries_since_last=0 | 156 ms
[buffer 100000] ep    59 | SUCCESS | score   9492.08 | last_reward 3000.0 | loss  26.824 | eps 0.050 | steps   89 | mem 4474/100000 | tries_since_last=0 | 156 ms
[buffer 100000] >>> SUCCESS #38 | ep 60 | score 9445.11 | last_reward 3000.0 | loss 27.916 | eps 0.050 | steps 89 | mem 4563/100000 | tries_since_last=0 | 159 ms
[buffer 100000] ep    60 | SUCCESS | score   9445.11 | last_reward 3000.0 | loss  27.916 | eps 0.050 | steps   89 | mem 4563/100000 | tries_since_last=0 | 159 ms
[buffer 100000] >>> SUCCESS #39 | ep 61 | score 9502.95 | last_reward 3000.0 | loss 27.527 | eps 0.050 | steps 89 | mem 4652/100000 | tries_since_last=0 | 149 ms
[buffer 100000] ep    61 | SUCCESS | score   9502.95 | last_reward 3000.0 | loss  27.527 | eps 0.050 | steps   89 | mem 4652/100000 | tries_since_last=0 | 149 ms
[buffer 100000] >>> SUCCESS #40 | ep 62 | score 9447.13 | last_reward 3000.0 | loss 27.491 | eps 0.050 | steps 88 | mem 4740/100000 | tries_since_last=0 | 150 ms
[buffer 100000] ep    62 | SUCCESS | score   9447.13 | last_reward 3000.0 | loss  27.491 | eps 0.050 | steps   88 | mem 4740/100000 | tries_since_last=0 | 150 ms
[buffer 100000] >>> SUCCESS #41 | ep 63 | score 9482.65 | last_reward 3000.0 | loss 29.856 | eps 0.050 | steps 92 | mem 4832/100000 | tries_since_last=0 | 168 ms
[buffer 100000] ep    63 | SUCCESS | score   9482.65 | last_reward 3000.0 | loss  29.856 | eps 0.050 | steps   92 | mem 4832/100000 | tries_since_last=0 | 168 ms
[buffer 100000] >>> SUCCESS #42 | ep 64 | score 9446.13 | last_reward 3000.0 | loss 28.720 | eps 0.050 | steps 88 | mem 4920/100000 | tries_since_last=0 | 155 ms
[buffer 100000] ep    64 | SUCCESS | score   9446.13 | last_reward 3000.0 | loss  28.720 | eps 0.050 | steps   88 | mem 4920/100000 | tries_since_last=0 | 155 ms
[buffer 100000] >>> SUCCESS #43 | ep 65 | score 9460.43 | last_reward 3000.0 | loss 26.868 | eps 0.050 | steps 88 | mem 5008/100000 | tries_since_last=0 | 157 ms
[buffer 100000] ep    65 | SUCCESS | score   9460.43 | last_reward 3000.0 | loss  26.868 | eps 0.050 | steps   88 | mem 5008/100000 | tries_since_last=0 | 157 ms
[buffer 100000] >>> SUCCESS #44 | ep 66 | score 9458.75 | last_reward 3000.0 | loss 27.262 | eps 0.050 | steps 88 | mem 5096/100000 | tries_since_last=0 | 159 ms
[buffer 100000] ep    66 | SUCCESS | score   9458.75 | last_reward 3000.0 | loss  27.262 | eps 0.050 | steps   88 | mem 5096/100000 | tries_since_last=0 | 159 ms
[buffer 100000] >>> SUCCESS #45 | ep 67 | score 9460.84 | last_reward 3000.0 | loss 28.542 | eps 0.050 | steps 88 | mem 5184/100000 | tries_since_last=0 | 161 ms
[buffer 100000] ep    67 | SUCCESS | score   9460.84 | last_reward 3000.0 | loss  28.542 | eps 0.050 | steps   88 | mem 5184/100000 | tries_since_last=0 | 161 ms
[buffer 100000] >>> SUCCESS #46 | ep 68 | score 9450.80 | last_reward 3000.0 | loss 28.541 | eps 0.050 | steps 88 | mem 5272/100000 | tries_since_last=0 | 157 ms
[buffer 100000] ep    68 | SUCCESS | score   9450.80 | last_reward 3000.0 | loss  28.541 | eps 0.050 | steps   88 | mem 5272/100000 | tries_since_last=0 | 157 ms
[buffer 100000] >>> SUCCESS #47 | ep 69 | score 9461.71 | last_reward 3000.0 | loss 28.035 | eps 0.050 | steps 88 | mem 5360/100000 | tries_since_last=0 | 155 ms
[buffer 100000] ep    69 | SUCCESS | score   9461.71 | last_reward 3000.0 | loss  28.035 | eps 0.050 | steps   88 | mem 5360/100000 | tries_since_last=0 | 155 ms
[buffer 100000] >>> SUCCESS #48 | ep 70 | score 9437.44 | last_reward 3000.0 | loss 34.019 | eps 0.050 | steps 88 | mem 5448/100000 | tries_since_last=0 | 142 ms
[buffer 100000] ep    70 | SUCCESS | score   9437.44 | last_reward 3000.0 | loss  34.019 | eps 0.050 | steps   88 | mem 5448/100000 | tries_since_last=0 | 142 ms
[buffer 100000] >>> SUCCESS #49 | ep 71 | score 9461.48 | last_reward 3000.0 | loss 27.354 | eps 0.050 | steps 88 | mem 5536/100000 | tries_since_last=0 | 157 ms
[buffer 100000] ep    71 | SUCCESS | score   9461.48 | last_reward 3000.0 | loss  27.354 | eps 0.050 | steps   88 | mem 5536/100000 | tries_since_last=0 | 157 ms
[buffer 100000] >>> SUCCESS #50 | ep 72 | score 9439.49 | last_reward 3000.0 | loss 27.539 | eps 0.050 | steps 88 | mem 5624/100000 | tries_since_last=0 | 157 ms
[buffer 100000] ep    72 | SUCCESS | score   9439.49 | last_reward 3000.0 | loss  27.539 | eps 0.050 | steps   88 | mem 5624/100000 | tries_since_last=0 | 157 ms

==== Summary (capacity=100000) ====
episodes: 73
successes: 50
success_rate: 0.685
avg_score: 7135.89
std_score: 3510.88
avg_loss: 21.778
avg_epsilon: 0.326
avg_tries: 0.46
tries_std: 1.73
time_min: 0.15
episodes_per_min: 499.9


